Pāli1	Fin	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Source 2	Sutta2	Example 2	Pali chant 2	English chant 2	Chapter 2	Source 3	Sutta 3	Example 3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	Feedback	Tags
utu 2	ps	nt							season; time of year						ṛtu					VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	chanda-parisuddhi, <b>utu</b>-akkhānaṃ, bhikkhu-gaṇanā ca, ovādo - uposathassa etāni pubbakiccan'ti vuccati.	PAT PK	dhammayuttika-pubbakicca	<b>utu</b>-akkhānañ'ca; bhikkhugaṇanā'ca; bhikkhunīnam'ovādo cā'ti.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	ut	u masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=utu 2"">feedback</a>"	Pubbakicca
utukkhāna	ps	nt	comp						announcing the season; telling the season					utu + akkhāna	ṛtu + ākhyāna					VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	chanda-parisuddhi, <b>utu’kkhānaṃ</b>, bhikkhu-gaṇanā ca, ovādo - uposathassa etāni pubbakiccan'ti vuccati.	PAT PK	dhammayuttika-pubbakicca	<b>utukkhānañ</b>'ca; bhikkhugaṇanā'ca; bhikkhunīnam'ovādo cā'ti.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	utukkhān	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=utukkhāna"">feedback</a>"	Pubbakicca
yāvatika	ps	adj		yāvatā					however many; as many as					yāva + tā + ika	yāvantikā					VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	uposatho, <b>yāvatikā</b> ca bhikkhū kammappattā, sabhāg’āpattiyo ca na vijjanti, vajjanīyā ca puggalā tasmiṃ na honti - pattakallan'ti vuccati. 	PAT PK	dhammayuttika-pubbakicca	<b>yāvatikā</b> ca bhikkhū kammappattā saṅgh'uposath'ārahā cattāro vā tato vā atirekā pakatattā pārājikaṃ anāpannā saṅghena vā anukkhittā.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	yāvatik	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yāvatika"">feedback</a>"	Pubbakicca
gimhotu	s	masc	comp						hot time the of year; summer season					gimha + utu									PAT PK	dhammayuttika-pubbakicca	ayaṃ <b>gimho'tu</b>, asmiñ'ca utumhi aṭṭha uposathā, iminā pakkhena: eko uposatho sampatto, eko uposathā atikkantā,  cha uposathā avasiṭṭhā.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	gimhotu	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=gimhotu"">feedback</a>"	Pubbakicca
hemantotu	s	masc	comp						cold time the of year; winter season					hemanta + utu									PAT PK	dhammayuttika-pubbakicca	ayaṃ <b>hem'anto'tu</b>, asmiñ'ca utumhi aṭṭha uposathā, iminā pakkhena: eko uposatho sampatto, eko uposathā atikkantā,  cha uposathā avasiṭṭhā.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	hemantot	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hemantotu"">feedback</a>"	Pubbakicca
vassānotu	s	masc	comp						rainy time the of year; rainy season					vassāna + utu									PAT PK	dhammayuttika-pubbakicca	ayaṃ <b>vassāno'tu</b>, asmiñ'ca utumhi aṭṭha uposathā, iminā pakkhena: eko uposatho sampatto, eko uposathā atikkantā,  cha uposathā avasiṭṭhā.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	vassānotu	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vassānotu"">feedback</a>"	Pubbakicca
uposatha	ps	masc		upavasa					full moon or new moon observance day			√vas 1 a (to live)		upa + √vas + a + tha<br/>upavasa > uposa + tha	upavasatha	√vas				VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	sammajjanī, padīpo ca, udakaṃ āsanena ca, <b>uposathassa</b> etāni, pubbakaraṇan’ti vuccati.	PAT PK	dhammayuttika-pubbakicca	ayaṃ hem'anto'tu, asmiñ'ca utumhi aṭṭha <b>uposathā</b>, iminā pakkhena: eko <b>uposatho</b> sampatto, satta <b>uposathā</b> atikkantā, aṭṭha <b>uposathā</b> paripuṇṇā.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	uposath	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=uposatha"">feedback</a>"	Pubbakicca
asmiñca	s	sandhi	pron + ind						and in this					asmiṃ + ca									PAT PK	dhammayuttika-pubbakicca	ayaṃ vassāno'tu, <b>asmiñ'ca</b> utumhi aṭṭha uposathā, iminā pakkhena: eko uposatho sampatto, eko uposathā atikkantā,  cha uposathā avasiṭṭhā.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	!	ima ca	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=asmiñca"">feedback</a>"	Pubbakicca
uposathagga	ps	nt	comp						uposatha hall					uposathagga + agga	upavasatha + agāra					VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	bhikkhu-gaṇanā ca: imasmiṃ <b>uposath’agge</b> sannipatitānaṃ bhikkhūnaṃ gaṇanā kittakā bhikkhū honti?	PAT PK	dhammayuttika-pubbakicca	bhikkhugaṇanā nāma imasmiṃ <b>uposathagge</b> uposath'atthāya sannipatitā bhikkhū ettakā'ti, bhikkhūnaṃ gaṇanā.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	uposathagg	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=uposathagga"">feedback</a>"	Pubbakicca
uposathatthāya	s	masc	comp, dat sg						for the purpose of uposatha; for the sake of observance day					uposatha + atthāya									PAT PK	dhammayuttika-pubbakicca	bhikkhugaṇanā nāma imasmiṃ uposathagge <b>uposath'atthāya</b> sannipatitā bhikkhū ettakā'ti, bhikkhūnaṃ gaṇanā.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	!uposathatth	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=uposathatthāya"">feedback</a>"	Pubbakicca
atthāya 1	ps	masc	dat sg	attha				+gen	for the purpose (of); for the sake (of); for the benefit (of)			√ar 1 a (to move, attain)		attha + āya	arthatas	√ṛ				SN 47.10	bhikkhunupassayasuttaṃ	“yassa khv’āhaṃ <b>atthāya</b> cittaṃ paṇidahiṃ so me attho abhinipphanno. handa dāni paṭisaṃharāmi”	PAT PK	dhammayuttika-pubbakicca	bhikkhugaṇanā nāma imasmiṃ uposathagge uposath'<b>atthāya</b> sannipatitā bhikkhū ettakā'ti, bhikkhūnaṃ gaṇanā.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	!atth	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=atthāya 1"">feedback</a>"	Pubbakicca
samīpa	s	adj							(in space or time) near; close; proximate to						samīpa				saṃ + √ap?				PAT PK	dhammayuttika-pubbakicca	bhikkhunīnam'ovādo pana <b>samīpe</b> tāsaṃ n'atthitāya n'atthi.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	samīp	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=samīpa"">feedback</a>"	Pubbakicca
samīpe	s	ind	prep, loc sg	samīpa				+gen	near (to); nearby; close (to); lit. near (of)					samīpa + e	samīpe								PAT PK	dhammayuttika-pubbakicca	bhikkhunīnam'ovādo pana <b>samīpe</b> tāsaṃ n'atthitāya n'atthi.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	-		99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=samīpe"">feedback</a>"	Pubbakicca
tāsaṃ 2	ps	pron	fem gen pl	ta					of those; of them; their					ta + āsānaṃ > ās(ān)aṃ > āsaṃ	tānām					MN 43	mahāvedallasuttaṃ	yāvatā kho, āvuso, appamāṇā cetovimuttiyo, akuppā <b>tāsaṃ</b> cetovimutti aggam'akkhāyati. sā kho pan'ākuppā cetovimutti suññā rāgena, suññā dosena, suññā mohena.	PAT PK	dhammayuttika-pubbakicca	bhikkhunīnam'ovādo pana samīpe <b>tāsaṃ</b> n'atthitāya n'atthi.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	!	ta	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=tāsaṃ 2"">feedback</a>"	Pubbakicca
natthitā	ps	fem	abstr	na atthi	neg				non-existence; idea of non-existence; absence; lit. there is not state			√as 1 a (to be)		na + √as + ti + tā<br/>natthi + tā	nāstitā	√as				VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	idāni pana tāsaṃ <b>natthitāya</b>, so ca ovādo idha n’atthi.	PAT PK	dhammayuttika-pubbakicca	bhikkhunīnam'ovādo pana samīpe tāsaṃ <b>n'atthitāya</b> n'atthi.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	natthit	ā fem	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=natthitā"">feedback</a>"	Pubbakicca
pārisuddhiāharaṇa	s	nt	act, comp						bringing purity; convey purification					pārisuddhi + āharaṇa									PAT PK	dhammayuttika-pubbakicca	chand'āharaṇa-<b>pārisuddhiāharaṇāni</b>, pana imissaṃ sīmāyaṃ hatthapāsaṃ vijahitvā nisinnānaṃ bhikkhūnaṃ abhāvato n'atthi.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	pārisuddhiāharaṇ	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pārisuddhiāharaṇa"">feedback</a>"	Pubbakicca
imissaṃ	s	pron	fem loc sg	ima					in this					ima + issaṃ									PAT PK	dhammayuttika-pubbakicca	chand'āharaṇa-pārisuddhiāharaṇāni, pana <b>imissaṃ</b> sīmāyaṃ hatthapāsaṃ vijahitvā nisinnānaṃ bhikkhūnaṃ abhāvato n'atthi.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	!*	ima pron	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=imissaṃ"">feedback</a>"	Pubbakicca
sīmā 2	ps	fem							(vinaya) boundary in which legal procedures are performed; legal territory						sīmā					VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	yattakā bhikkhū tassa uposathakammassa patta-yuttā anurūpā, sabb’antimena paricchedena cattāro bhikkhū pakatattā, saṅghena anukkhittā, te ca kho hatthapāsaṃ avijahitvā eka-<b>sīmayaṃ</b> ṭhitā.	PAT PK	dhammayuttika-pubbakicca	chand'āharaṇa-pārisuddhiāharaṇāni, pana imissaṃ <b>sīmāyaṃ</b> hatthapāsaṃ vijahitvā nisinnānaṃ bhikkhūnaṃ abhāvato n'atthi.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	sīm	ā fem	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sīmā 2"">feedback</a>"	Pubbakicca
hatthapāsa	ps	masc	comp					+gen	hand's reach; arm's length; lit. hand throw					hattha + pāsa	hasta + prāsa					VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	yattakā bhikkhū tassa uposathakammassa patta-yuttā anurūpā, sabb’antimena paricchedena cattāro bhikkhū pakatattā, saṅghena anukkhittā, te ca kho <b>hatthapāsaṃ</b> avijahitvā ekasīmayaṃ ṭhitā.	PAT PK	dhammayuttika-pubbakicca	chand'āharaṇa-pārisuddhiāharaṇāni, pana imissaṃ sīmāyaṃ <b>hatthapāsaṃ</b> vijahitvā nisinnānaṃ bhikkhūnaṃ abhāvato n'atthi.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	hatthapās	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hatthapāsa"">feedback</a>"	Pubbakicca
pāsa 1	ps	masc		pāssati					throw			√as 3 ya (to throw, hurl)		pa + √as + a	prāsa	√as				VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	yattakā bhikkhū tassa uposathakammassa patta-yuttā anurūpā, sabb’antimena paricchedena cattāro bhikkhū pakatattā, saṅghena anukkhittā, te ca kho hattha-<b>pāsaṃ</b> avijahitvā ekasīmayaṃ ṭhitā.	PAT PK	dhammayuttika-pubbakicca	chand'āharaṇa-pārisuddhiāharaṇāni, pana imissaṃ sīmāyaṃ hattha-<b>pāsaṃ</b> vijahitvā nisinnānaṃ bhikkhūnaṃ abhāvato n'atthi.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	pās	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pāsa 1"">feedback</a>"	Pubbakicca
vijahitvā	ns	abs		vijahati			trans	+acc	having left; having abandoned; having given up			√hā 1 a (to abandon)	√hā + hā + a > jaha	vi + jaha + itvā	vijahitvā	√hā				VIN 2.5.5.3	sabhojanasikkhāpadaṃ	nisajjaṃ kappeyyā'ti mahallake ghare piṭṭhasaṅghāṭassa hatthapāsaṃ <b>vijahitvā</b> nisīdati, āpatti pācittiyassa. khuddake ghare piṭṭhivaṃsaṃ atikkamitvā nisīdati, āpatti pācittiyassa.	PAT PK	dhammayuttika-pubbakicca	chand'āharaṇa-pārisuddhiāharaṇāni, pana imissaṃ sīmāyaṃ hatthapāsaṃ <b>vijahitvā</b> nisinnānaṃ bhikkhūnaṃ abhāvato n'atthi.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	-		99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vijahitvā"">feedback</a>"	Pubbakicca
abhāva 1	ns	masc	abstr	bhavati	neg			+gen	absence (of); lack (of); not-doing (of); non-existence (of)			√bhū 1 a (to be)		na > a + √bhū > bhāv + *a	abhāva	√bhū				VISM 1.9.2	karuṇā bhāvanā kathā	ayaṃ varāko kiñcā'pi idāni sukhito susajjito bhoge paribhuñjati, atha kho tīsu dvāresu ekenā'pi katassa kalyāṇakammassa <b>abhāvā</b> idāni apāyesu anappakaṃ dukkhaṃ domanassaṃ paṭisaṃvedissatī'ti.	PAT PK	dhammayuttika-pubbakicca	chand'āharaṇa-pārisuddhiāharaṇāni, pana imissaṃ sīmāyaṃ hatthapāsaṃ vijahitvā nisinnānaṃ bhikkhūnaṃ <b>abhāvato</b> n'atthi.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	abhāv	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=abhāva 1"">feedback</a>"	Pubbakicca
sannipatita	pps	pp		sannipatati					gathered together; assembled; lit. fallen together			√pat 1 a (to fall)		saṃ + ni + √pat + ita	saṃnipatita	√pat				VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	bhikkhu-gaṇanā ca: imasmiṃ uposath’agge <b>sannipatitānaṃ</b> bhikkhūnaṃ gaṇanā kittakā bhikkhū honti?	SN 1.37	samayasuttaṃ	dasahi ca lokadhātūhi devatā yebhuyyena <b>sannipatitā</b> honti bhagavantaṃ dassanāya bhikkhusaṅghañ'ca.				PAT PK	dhammayuttika-pubbakicca	bhikkhugaṇanā nāma imasmiṃ uposathagge uposath'atthāya <b>sannipatitā</b> bhikkhū ettakā'ti, bhikkhūnaṃ gaṇanā.	Pubbakicca	Preliminary duty	International Pātimokkha	80n	sannipatit	a pp	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sannipatita"">feedback</a>"	 Pubbakicca
uposathakamma	ps	nt	act, comp						(vinaya) performance of the Uposatha ceremony					uposatha + kamma	upavasatha + karman					VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	etāni pañca kammāni, chand’āharaṇ’ādīni pātimokkh’uddesato paṭhamaṃ kattabbatā, uposathassa <b>uposathakammassa</b> pubbakiccan'ti vuccati.	PAT PK	dhammayuttika-pubbakicca	evan'taṃ <b>uposathakammaṃ</b> imehi catūhi lakkhaṇehi saṅgahitaṃ pattakallaṃ nāma hoti, kātuṃ yutta-rūpaṃ.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	uposathakamm	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=uposathakamma"">feedback</a>"	Pubbakicca
saṅgahita 1	ps	pp		saṅgaṇhāti					comprised of; endowed with; lit. held together			√gah 6 ṇhā (to grasp)		saṃ + √gah + ita	saṃgṛhīta	√grah √gṛbh				VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	saṅghassa uposathakammaṃ imehi catūhi lakkhaṇehi <b>saṅgahitaṃ</b> pattakallan’ti vuccati. pattakallavantan’ti akkhātaṃ.	PAT PK	dhammayuttika-pubbakicca	evan'taṃ uposathakammaṃ imehi catūhi lakkhaṇehi <b>saṅgahitaṃ</b> pattakallaṃ nāma hoti, kātuṃ yutta-rūpaṃ.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	saṅgahit	a pp	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=saṅgahita 1"">feedback</a>"	Pubbakicca
pattakalla	ps	nt	comp					+dat	suitable time (for); good time (for); lit. reached the time					patta + kāla > kalla	prāptakālam			(KV) yadi saṅghassa pattakallanti ettha patto kālo imassa kammassāti pattakālaṃ, pattakālameva pattakallaṃ.		VIN PAT NID	nidānuddeso	yadi saṅghassa <b>pattakallaṃ</b>, saṅgho uposathaṃ kareyya, pātimokkhaṃ uddiseyya.	PAT PK	dhammayuttika-pubbakicca	evan'taṃ uposathakammaṃ imehi catūhi lakkhaṇehi saṅgahitaṃ <b>pattakallaṃ</b> nāma hoti, kātuṃ yutta-rūpaṃ.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	pattakall	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pattakalla"">feedback</a>"	Pubbakicca
yutta 4	ps	adj	pp	yuñjati					proper; suitable; right; appropriate			√yuj 2 ṃa (to yoke, join)		√yuj + ta	yukta	√yuj				VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	yattakā bhikkhū tassa uposathakammassa patta-<b>yuttā</b> anurūpā, sabb’antimena paricchedena cattāro bhikkhū pakatattā, saṅghena anukkhittā, te ca kho hatthapāsaṃ avijahitvā ekasīmayaṃ ṭhitā.	PAT PK	dhammayuttika-pubbakicca	evan'taṃ uposathakammaṃ imehi catūhi lakkhaṇehi saṅgahitaṃ pattakallaṃ nāma hoti, kātuṃ <b>yutta</b>-rūpaṃ.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	yutt	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yutta 4"">feedback</a>"	Pubbakicca
yuttarūpa	s	adj	comp					+inf	proper (to); suitable (for); appropriate (for); lit. with proper form					yutta + rūpa	yukta + rūpa								PAT PK	dhammayuttika-pubbakicca	evan'taṃ uposathakammaṃ imehi catūhi lakkhaṇehi saṅgahitaṃ pattakallaṃ nāma hoti, kātuṃ <b>yuttarūpaṃ</b>.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	yuttarūp	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yuttarūpa"">feedback</a>"	Pubbakicca
rūpa 4	ps	adj	in comps						of character; having nature of; of type; of kind; having the quality of; lit. having form of			√rūp 8 *e (to form, produce)		√rūp + a	rūpa	√rūp				DHP 268	dhammaṭṭha vaggo	na monena munī hoti, mūḷha-<b>rūpo</b> aviddasu. <br/>yo ca tulaṃ’va paggayha, varam’ādāya paṇḍito.	PAT PK	dhammayuttika-pubbakicca	evan'taṃ uposathakammaṃ imehi catūhi lakkhaṇehi saṅgahitaṃ pattakallaṃ nāma hoti, kātuṃ yutta-<b>rūpaṃ</b>.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	rūp	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=rūpa 4"">feedback</a>"	Pubbakicca
utuācikkhana	s	nt	comp						telling the season; announcing the time of year					utu + ācikkhana									PAT PK	dhammayuttika-pubbakicca	evaṃ <b>utuācikkhanaṃ</b>. utūn'īdha pana sāsane hem'anta-gimha-vassānānaṃ vasena tīṇi honti.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	utuācikkhan	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=utuācikkhana"">feedback</a>"	Pubbakicca
ācikkhana	ps	nt	act						telling; informing; announcing			√cikkh 1 a (to show, tell)		ā + √cikkh + ana	ākhyāna	√khyā				VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	utu’kkhānaṃ: hemant’ādīnaṃ tiṇṇaṃ utūnaṃ, ettakaṃ atikkantaṃ, ettakaṃ avasiṭṭhan'ti. evaṃ utu-<b>ācikkhanaṃ</b> kataṃ kiṃ?	PAT PK	dhammayuttika-pubbakicca	evaṃ utu-<b>ācikkhanaṃ</b>. utūn'īdha pana sāsane hem'anta-gimha-vassānānaṃ vasena tīṇi honti.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	ācikkhan	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ācikkhana"">feedback</a>"	Pubbakicca
sāsana 2	ps	nt		sāsati					religion; monastic order; dispensation			√sās 1 a (to teach, instruct)		√sās + ana	śāsana	√śās				VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	utun’idha pana <b>sāsane</b> hem'anta-gimha-vassānānaṃ vasena tīṇi honti. ayaṃ hem'anta-utu/gimhāna-utu/vassāna-utu.	PAT PK	dhammayuttika-pubbakicca	evaṃ utu-ācikkhanaṃ. utūn'īdha pana <b>sāsane</b> hem'anta-gimha-vassānānaṃ vasena tīṇi honti.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	sāsan	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sāsana 2"">feedback</a>"	Pubbakicca
hemanta	ps	masc	comp						winter; cold season; lit. cold end					hima + anta + *a	hemanta					DHP 286	maggavaggo	'idha vassaṃ vasissāmi, idha <b>hem’anta</b>-gimhisu; <br/>iti bālo vicinteti, antarāyaṃ na bujjhati.'	PAT PK	dhammayuttika-pubbakicca	evaṃ utu-ācikkhanaṃ. utūn'īdha pana sāsane <b>hem'anta</b>-gimha-vassānānaṃ vasena tīṇi honti.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	hemant	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hemanta"">feedback</a>"	Pubbakicca
vassāna	ps	masc		vassati					monsoon; rainy season			√vass 1 a (to rain)		√vass + āna(ṃ)	varṣā	√vṛṣ			(PED) orig. gen. pl. of vassa = vassānaṃ, fr. combination vassāna(ṃ) māse, in a month of raining	MN 19	dvedhāvitakkasuttaṃ	seyyathā’pi, bhikkhave, <b>vassānaṃ</b> pacchime māse saradasamaye kiṭṭha-sambādhe gopālako gāvo rakkheyya. so tā gāvo tato tato daṇḍena ākoṭeyya paṭikoṭeyya sannirundheyya sannivāreyya.	PAT PK	dhammayuttika-pubbakicca	evaṃ utu-ācikkhanaṃ. utūn'īdha pana sāsane hem'anta-gimha-<b>vassānānaṃ</b> vasena tīṇi honti.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	vassān	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vassāna"">feedback</a>"	Pubbakicca
