Pāli1	Fin	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Source 2	Sutta2	Example 2	Pali chant 2	English chant 2	Chapter 2	Source 3	Sutta 3	Example 3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	Feedback
suggati	ps	fem		gati					good destination; happy fate; heaven; lit. going well			√gam 1 a (to go)		su + √gam + ti	sugati	√gam				DHP 18	yamakavaggo	idha nandati pecca nandati, katapuñño ubhay'attha nandati,<br/>puññaṃ me katan'ti nandati, bhiyyo nandati <b>suggatiṃ</b> gato.	TH 195	dhammikattheragāthā	na hi dhammo adhammo ca, ubho sama-vipākino. <br/>adhammo nirayaṃ neti, dhammo pāpeti <b>suggatiṃ</b>.	Dhamma-gārava	Respect for the Dhamma	Verses							07n	suggat	i fem	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=suggati"">feedback</a>"
sucarita 1	p	adj		carati					good; right; moral; lit. well behaved			√car 1 a (to act, behave)		su + √car + ita	sucarita	√car				DHP 168	lokavaggo	uttiṭṭhe nappamajjeyya, dhammaṃ <b>sucaritaṃ</b> care,<br/>dhammacārī sukhaṃ seti, asmiṃ loke paramhi ca.														sucarit	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sucarita 1"">feedback</a>"
sucikamma	p	adj	comp						pure in deed					suci + kamma	sūci + karman			(DHPa) sucikammassā'ti niddosehi niraparādhehi kāyakammādīhi samannāgatassa.		DHP 24	appamādavaggo	uṭṭhānavato satīmato, <b>sucikammassa</b> nisammakārino,<br/>saññatassa dhammajīvino, appamattassa yaso'bhivaḍḍhati.														sucikamm	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sucikamma"">feedback</a>"
sucigandha	p	adj	comp						fragrant; with a fine perfume; sweet-smelling					suci + gandha	śuci + gandha					DHP 58	pupphavaggo	yathā saṅkāraṭhānasmiṃ, ujjhitasmiṃ mahāpathe,<br/>padumaṃ tattha jāyetha, <b>sucigandhaṃ</b> manoramaṃ.														sucigandh	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sucigandha"">feedback</a>"
sucitta	p	adj		citteti					well adorned; highly variegated; beautifully designed			√citt 8 *e (to paint, design)		su + √citt + a	sucitra	√cit √citraya				DHP 151	jarāvaggo	jīranti ve rājarathā <b>sucittā</b>, atho sarīram'pi jaraṃ upeti,<br/>satañ'ca dhammo na jaraṃ upeti, santo have sabbhi pavedayanti.														sucitt	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sucitta"">feedback</a>"
suci 2	p	adj		sucati					(of tastes; smells) good; fine; exquisite			√suc 1 a (to be pure, bright)		√suc + i	śuci	√śuc				DHP 58	pupphavaggo	yathā saṅkāraṭhānasmiṃ, ujjhitasmiṃ mahāpathe,<br/>padumaṃ tattha jāyetha, <b>suci-</b>gandhaṃ manoramaṃ.														suc	i adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=suci 2"">feedback</a>"
succhanna	p	adj		chādeti					well-thatched; well-roofed; lit. well covered			√chad 8 *e (to cover, conceal)		su + √chad + na	su + channa	√chad				DHP 14	yamakavaggo	yathā agāraṃ <b>suchannaṃ</b>, vuṭṭhī na samativijjhati,<br/>evaṃ subhāvitaṃ cittaṃ, rāgo na samativijjhati.														succhann	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=succhanna"">feedback</a>"
sujīva	p	adj		jīvati				+instr	(of life) easy (for); comfortable (for); easy to live (by)			√jīv 1 a (to live)		su + √jīv + a	sujīva	√jīv				DHP 244	malavaggo	<b>sujīvaṃ</b> ahirikena, kākasūrena dhaṃsinā,<br/>pakkhandinā pagabbhena, saṃkiliṭṭhena jīvitaṃ.														sujīv	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sujīva"">feedback</a>"
suññata	p	adj		suññatā					empty; void; non-subjective					suñña + tā + a	śūnyāt, śūnyatā (bsk)					DHP 92	arahantavaggo	yesaṃ sannicayo n'atthi, ye pariññātabhojanā,<br/><b>suññato</b> animitto ca, vimokkho yesaṃ gocaro,<br/>ākāse va sakuntānaṃ, gati tesaṃ durannayā.														suññat	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=suññata"">feedback</a>"
sutvā	ps	abs		suṇāti			trans	+acc	having heard			√su 4 ṇā (to hear)		√su + tvā	śrutvā	√śru				DHP 101	sahassavaggo	sahassam’api ce gāthā, anatthapada-saṃhitā, <br/>ekaṃ gāthā-padaṃ seyyo, yaṃ <b>sutvā</b> upasammati.	AN 8.53	saṃkhittasuttaṃ	sādhu me bhagavā saṃkhittena dhammaṃ desetu, yam’ahaṃ bhagavato dhammaṃ <b>sutvā</b> ekā vūpakaṭṭhā appamattā ātāpinī pahit’attā vihareyyan’ti	Saṅkhitta-dhamma	The Dhamma in Brief	Teachings							24n	-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sutvā"">feedback</a>"
sudassa	p	adj							easily seen			√dis 1 a (to see)	√dis + a > dassa (irreg)	su + dassa + a		√dṛś				DHP 252	malavaggo	<b>sudassaṃ</b> vajjam’aññesaṃ, attano pana duddasaṃ. <br/>paresaṃ hi so vajjāni, opunāti yathā bhusaṃ. <br/>attano pana chādeti, kaliṃ’va kitavā saṭho.														sudass	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sudassa"">feedback</a>"
sudu	ps	prefix							extremely hard; very difficult					su + du	su + dus					DHP 36	cittavaggo	<b>sudu-</b>ddasaṃ sunipuṇaṃ, yatthakāma-nipātino,<br/>cittaṃ rakkhetha medhāvī, cittaṃ guttaṃ sukh'āvahaṃ.			ye ca kho sammad-akkhāte, dhamme dhamm’ānuvattino, te janā pāram’essanti, maccudheyyaṃ <b>sudu-</b>ttaraṃ.			Prefixes							99n	-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sudu"">feedback</a>"
sududdasa	p	adj							extremely difficult to see; very difficult to discern			√dis 1 a (to see)	√dis + a > dasa (irreg)	su + du + dasa + a	sudurdarśa	√dṛś				DHP 36	cittavaggo	<b>sududdasaṃ</b> sunipuṇaṃ, yatthakāma-nipātino,<br/>cittaṃ rakkhetha medhāvī, cittaṃ guttaṃ sukh'āvahaṃ.														sududdas	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sududdasa"">feedback</a>"
sudesita	ps	adj	pp	su + deseti					well preached; well taught; well explained; well instructed			√dis 8 *e (to teach, point out)	√dis + *e > dese	su + dese + ita	su + deśita	√diś				DHP 44	pupphavaggo	ko imaṃ pathaviṃ vicessati, yamalokañ'ca imaṃ sadevakaṃ,<br/>ko dhammapadaṃ <b>sudesitaṃ</b>, kusalo puppham'iva pacessati.	SNP 13	ratanasuttaṃ<br/>cūḷavaggo 1	ye ariya-saccāni vibhāvayanti,  gambhīra-paññena <b>sudesitāni</b>. <br/>kiñ’c’āpi te honti bhusaṃ pamattā,  na te bhavaṃ aṭṭhamam’ādiyanti.	Ratana-sutta		Protective Recitations							52n	sudesit	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sudesita"">feedback</a>"
suddha 1	ps	adj	pp	sujjhati					clean; pure; white			√sudh 3 ya (to be pure)		√sudh + ta	śuddha	√śudh				DHP 125	pāpavaggo	yo appaduṭṭhassa narassa dussati, <b>suddhassa</b> posassa anaṅgaṇassa.<br/>tam’eva bālaṃ pacceti pāpaṃ, sukhumo rajo paṭivātaṃ’va khitto.	Thai		buddho susuddho karuṇā-mah’aṇṇavo, yo’ccanta-<b>suddha</b>-bbara-ñāṇa-locano, lokassa pāp’ūpakilesa-ghātako	Ratanattaya-paṇāma	Salutation to the Triple Gem	Homage to the Triple Gem							05n	suddh	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=suddha 1"">feedback</a>"
suddhājīva 1	pp	adj	comp						clean-living; living a pure life; innocent					suddha + ājīva	śuddha + ājīva					DHP 245	malavaggo	hirīmatā ca dujjīvaṃ, niccaṃ sucigavesinā,<br/>alīnen'āppagabbhena, <b>suddhājīvena</b> passatā.	DHP 366	bhikkhuvaggo	appalābho'pi ce bhikkhu, salābhaṃ n'ātimaññati,<br/>taṃ ve devā pasaṃsanti, <b>suddhājīviṃ</b> atanditaṃ.											suddhājīv	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=suddhājīva 1"">feedback</a>"
sunipuṇa	p	adj		nipuṇa					very subtle; extremely elusive			√puṇ 1 a (to be skillful, precise)		su + ni + √puṇ + a	su + nipuṇa	√puṇ				DHP 36	cittavaggo	sududdasaṃ <b>sunipuṇaṃ</b>, yatthakāma-nipātino,<br/>cittaṃ rakkhetha medhāvī, cittaṃ guttaṃ sukh'āvahaṃ.														sunipuṇ	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sunipuṇa"">feedback</a>"
suparisaṃvuta	p	adj							truly well restrained; self-controlled in every way; lit. well around restrained			√var 1 a (to cover, dress, restrain)		su + pari + saṃ + √var > vur + ta	su + pari + saṃvṛta	√vṛ		(DHPa) te idha lokasmiṃ susaṃvutā surakkhitā sugopitā supihitadvārā'ti attho.	va > vu	DHP 234	kodhavaggo	kāyena saṃvutā dhīrā, atho vācāya saṃvutā,<br/>manasā saṃvutā dhīrā, te ve <b>suparisaṃvutā</b>.														suparisaṃvut	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=suparisaṃvuta"">feedback</a>"
suppabuddhaṃ	p	ind	adv, acc sg	pabuddha					wide awake; well awakened			√budh 3 ya (to wake up)		su + pa + √budh + ta + aṃ<br/>suppabuddha + aṃ	su + prabuddha	√budh				DHP 296	pakiṇṇakavaggo	<b>suppabuddhaṃ</b> pabujjhanti, sadā gotamasāvakā,<br/>yesaṃ divā ca ratto ca, niccaṃ buddhagatā sati.														-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=suppabuddhaṃ"">feedback</a>"
subbata 1	p	adj		vata					virtuous; of good conduct; lit. good ritual observance			√vat 1 a (to be, proceed)		su + √vat + a	suvrata	√vṛt				DHP 95	arahantavaggo	pathavisamo no virujjhati, indakhīl'ūpamo tādi <b>subbato</b>,<br/>rahado'va apeta-kaddamo, saṃsārā na bhavanti tādino.														subbat	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=subbata 1"">feedback</a>"
subbata 2	p	masc		vata					virtuous person; one of good conduct; lit. who has good ritual observance			√vat 1 a (to be, proceed)		su + √vat + a	suvrata	√vṛt				DHP 145	daṇḍavaggo	udakañ'hi nayanti nettikā, usukārā namayanti tejanaṃ,<br/>dāruṃ namayanti tacchakā, attānaṃ damayanti <b>subbatā</b>.														subbat	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=subbata 2"">feedback</a>"
subhānupassī	pp	adj	comp						observing beauty; perceiving as beautiful					subha + anupassī	śubha + anudarśana					DHP 7	yamakavaggo	<b>subh'ānupassiṃ</b> viharantaṃ, indriyesu asaṃvutaṃ,<br/>bhojanamhi c'āmattaññuṃ, kusītaṃ hīnavīriyaṃ,<br/>taṃ ve pasahati māro, vāto rukkhaṃ'va dubbalaṃ.	DHP 349	taṇhāvaggo	vitakkamathitassa jantuno, tibbarāgassa <b>subh'ānupassino</b>,<br/>bhiyyo taṇhā pavaḍḍhati, esa kho daḷhaṃ karoti bandhanaṃ.											subhānupass	ī adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=subhānupassī"">feedback</a>"
subhāvita	p	adj		bhāveti		caus			well cultivated; fully developed			√bhū 1 *e (to be)	√bhū + *e > bhāve (caus)	su + bhāve + ita	bhāvita	√bhū				DHP 14	yamakavaggo	yathā agāraṃ suchannaṃ, vuṭṭhī na samativijjhati,<br/>evaṃ <b>subhāvitaṃ</b> cittaṃ, rāgo na samativijjhati.														subhāvit	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=subhāvita"">feedback</a>"
subhāsubha	p	adj	comp						beautiful and ugly; attractive and repulsive					subha + asubha	śubha + aśubha					DHP 409	brāhmaṇavaggo	y'odha dīghaṃ va rassaṃ vā, aṇuṃ thūlaṃ <b>subh'āsubhaṃ</b>,<br/>loke adinnaṃ n'ādiyati, tam'ahaṃ brūmi brāhmaṇaṃ.														subhāsubh	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=subhāsubha"">feedback</a>"
sumana	ps	adj		manas					glad; happy; pleased; satisfied; cheerful			√man 3 ya (to think)		su + √man + a	sumanas	√man				DHP 68	bālavaggo	tañ'ca kammaṃ kataṃ sādhu, yaṃ katvā n'ānutappati,<br/>yassa patīto <b>sumano</b>, vipākaṃ paṭisevati.	SNP 13	ratanasuttaṃ<br/>cūḷavaggo 1	yān’īdha bhūtāni samāgatāni,  bhummāni vā yāni va antalikkhe. <br/>sabb’eva bhūtā <b>sumanā</b> bhavantu,  atho'pi sakkacca suṇantu bhāsitaṃ.	Ratana-sutta		Protective Recitations							52n	suman	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sumana"">feedback</a>"
sumarati	p	pr					trans	+acc	remembers; recollects			√sar 1 a (to remember)	√sar + a > sumara (irreg)	sumara + ti	smarati	√smṛ	sarati, susarati			DHP 324	nāgavaggo	dhanapālo nāma kuñjaro, kaṭukabhedano dunnivārayo,<br/>baddho kabaḷaṃ na bhuñjati, <b>sumarati</b> nāgavanassa kuñjaro.														sumar	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sumarati"">feedback</a>"
sumedhasa	ps	adj		medha					wise; having a good understanding			√medh 1 a (to be wise)		su + √medh + as + a	sumedhas	√medh				DHP 29	appamādavaggo	appamatto pamattesu, suttesu bahujāgaro,<br/>abal'assaṃ'va sīgh'asso, hitvā yāti <b>sumedhaso</b>.	Thai		saṅgho sukhett’ābhyati-khetta-saññito, yo diṭṭha-santo sugat’ānubodhako, lola-ppahīno ariyo <b>sumedhaso</b>	Ratanattaya-paṇāma	Salutation to the Triple Gem	Homage to the Triple Gem							05n	sumedhas	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sumedhasa"">feedback</a>"
surakkhita	p	adj		rakkhati					well guarded; carefully guarded			√rakkh 1 a (to protect)		su + √rakkh + ita	surakṣita	√rakṣ				DHP 157	attavaggo	attānañ'ce piyaṃ jaññā, rakkheyya naṃ <b>surakkhitaṃ</b>,<br/>tiṇṇaṃ aññataraṃ yāmaṃ, paṭijaggeyya paṇḍito.														surakkhit	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=surakkhita"">feedback</a>"
surā	p	fem							(distilled) liquor; spirits			√su 1 a (to extract, distil)		√su + rā	surā	√su				DHP 247	malavaggo	<b>surā</b>-meraya-pānañ’ca, yo naro anuyuñjati.<br/>idh’evam’eso lokasmiṃ, mūlaṃ khaṇati attano.														sur	ā fem	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=surā"">feedback</a>"
surāmeraya	p	nt	comp						distilled and fermented liquors; wine and spirits					surā + meraya	surā + maireya					DHP 247	malavaggo	<b>surāmeraya</b>-pānañ’ca, yo naro anuyuñjati.<br/>idh’evam’eso lokasmiṃ, mūlaṃ khaṇati attano.														surāmeray	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=surāmeraya"">feedback</a>"
suve	ps	ind	adv						tomorrow						śvas		sve			DHP 229	kodhavaggo	yaṃ ce viññū pasaṃsanti, anuvicca suve <b>suve</b>,<br/>acchidda-vuttiṃ medhāviṃ, paññāsīla-samāhitaṃ.	MN 131	bhaddekarattasuttaṃ	ajj’eva kiccam’ātappaṃ, ko jaññā maraṇaṃ <b>suve</b>. na hi no saṅgaran’tena, mahā-senena maccunā.	Bhadd’eka-ratta	A single Excellent Night	Verses							16n	-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=suve"">feedback</a>"
suve suve	p	idiom	adv + adv						day after day; lit. tomorrow tomorrow						śvas					DHP 229	kodhavaggo	yaṃ ce viññū pasaṃsanti, anuvicca <b>suve</b> <b>suve</b>,<br/>acchidda-vuttiṃ medhāviṃ, paññāsīla-samāhitaṃ.														!	suve suve	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=suve suve"">feedback</a>"
susamāhita 2	p	pp		su + samādahati				+loc	(of behaviour) thoroughly settled (in); well controlled (in)			√dhā 1 a (to place, support)		su + saṃ + ā + √dhā > (da)h + ita	susamāhita	√dhā				DHP 10	yamakavaggo	yo ca vanta-kasāvassa, sīlesu <b>susamāhito</b>.<br/>upeto damasaccena, sa ve kāsāvam’arahati. 														susamāhit	a pp	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=susamāhita 2"">feedback</a>"
susukhaṃ	p	ind	adv, acc sg	susukha					extremely happily; very comfortably; completely without difficulty			√sukh 8 *e (to please, comfort)		su + √sukh + a + aṃ	susukham	√sukh				DHP 197	sukhavaggo	<b>susukhaṃ</b> vata jīvāma, verinesu averino,<br/>verinesu manussesu, viharāma averino.														-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=susukhaṃ"">feedback</a>"
sūpa	pp	masc							dhal; soup; curry; sauce						sūpa					DHP 65	bālavaggo	muhuttam’api ce viññū, paṇḍitaṃ payirupāsati. <br/>khippaṃ dhammaṃ vijānāti, jivhā <b>sūpa</b>-rasaṃ yathā.	VIN PAT PD 2	dutiyapāṭidesanīya sikkhāpada	bhikkhū pan'eva kulesu nimantitā bhuñjanti, tatra ce sā bhikkhunī vosāsamānarūpā ṭhitā hoti: “idha <b>sūpaṃ</b> detha, idha odanaṃ dethā”ti.											sūp	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sūpa"">feedback</a>"
sūparasa	pp	masc	comp						taste of carry; flavour of dhal					sūpa + rasa	sūparasa					DHP 65	bālavaggo	muhuttam’api ce viññū, paṇḍitaṃ payirupāsati. <br/>khippaṃ dhammaṃ vijānāti, jivhā <b>sūparasaṃ</b> yathā.	DHP 64	bālavaggo	yāvajīvam’pi ce bālo, paṇḍitaṃ payirupāsati, <br/>na so dhammaṃ vijānāti, dabbī <b>sūparasaṃ</b> yathā.											sūparas	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sūparasa"">feedback</a>"
sūra 1	p	adj							bold; valiant; heroic; courageous			√sur 1 a (to shine, be supreme)		√sur > sūr + *a	śūra	√sur				DHP 244	malavaggo	sujīvaṃ ahirikena, kāka-<b>sūrena</b> dhaṃsinā,<br/>pakkhandinā pagabbhena, saṃkiliṭṭhena jīvitaṃ.														sūr	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sūra 1"">feedback</a>"
seṭṭhatā	p	fem	abstr	seṭṭha					eminence; pre-eminence; superiority; lit. foremost state					seṭṭha + tā	śreṣṭhatā					DHP 30	appamādavaggo	appamādena maghavā, devānaṃ <b>seṭṭhataṃ</b> gato,<br/>appamādaṃ pasaṃsanti, pamādo garahito sadā.														seṭṭhat	ā fem	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=seṭṭhatā"">feedback</a>"
seṭṭha 2	p	masc							chief; leader; foremost; first						śreṣṭha					DHP 1	yamakavaggo	manopubbaṅgamā dhammā, mano-<b>seṭṭhā</b> manomayā,<br/>manasā ce paduṭṭhena, bhāsati vā karoti vā,<br/>tato naṃ dukkham'anveti, cakkaṃva vahato padaṃ.														seṭṭh	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=seṭṭha 2"">feedback</a>"
seti 3	p	pr					intrans		lives; stays; dwells; continues; lit. sleeps			√sī 1 a (to lie, sleep)	√sī + *a > se	se + ti				(DHPa) sukhaṃ setī'ti desanāmattam'ev'etaṃ, catūhi'pi iriyāpathehi sukhaṃ viharatī'ti attho.		DHP 79	paṇḍitavaggo	dhammapīti sukhaṃ <b>seti</b>, vippasannena cetasā,<br/>ariyappavedite dhamme, sadā ramati paṇḍito.														s	eti pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=seti 3"">feedback</a>"
seyyaso	p	ind	adv, abl sg	seyya				+abl	even better (than); even more (than)					seyya + so	śreyas					DHP 43	cittavaggo	na taṃ mātā pitā kayirā, aññe vā'pi ca ñātakā,<br/>sammāpaṇihitaṃ cittaṃ, <b>seyyaso</b> naṃ tato kare.														-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=seyyaso"">feedback</a>"
seyyo	ps	ind	adv, nom, compar	seyya					better; better than; it is better						śreyas					DHP 101	sahassavaggo	sahassam’api ce gāthā, anatthapada-saṃhitā, <br/>ekaṃ gāthā-padaṃ <b>seyyo</b>, yaṃ sutvā upasammati.	SN 2.8	tāyanasuttaṃ	akataṃ dukkaṭaṃ <b>seyyo</b>, pacchā tappati dukkaṭaṃ, <br/>katañ’ca sukataṃ seyyo, yaṃ katvā n’ānutappati.	Tāyana-gāthā	On Protection	Verses							14n	-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=seyyo"">feedback</a>"
seyyo hoti	p	idiom	ind + pr						one becomes better; one develops; lit. it is better						śreyas + bhavati			(SNa) seyyo hotī'ti vaḍḍhi hoti.		DHP 76	paṇḍitavaggo	nidhīnaṃ'va pavattāraṃ, yaṃ passe vajjadassinaṃ,<br/>niggayhavādiṃ medhāviṃ, tādisaṃ paṇḍitaṃ bhaje,<br/>tādisaṃ bhajamānassa, <b>seyyo</b> <b>hoti</b> na pāpiyo.														!	seyyo hoti	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=seyyo hoti"">feedback</a>"
