Pāli1	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Test	audio	Feedback	ID	Tags
ananta	adj		na anta	neg				infinite; endless; boundless; without limit					na + anta	ananta					MN 43	mahāvedallasuttaṃ	nissaṭṭhena āvuso, pañcahi indriyehi parisuddhena manoviññāṇena <b>ananto</b> ākāso'ti ākās'ānañc'āyatanaṃ neyyaṃ, <b>anantaṃ</b> viññāṇan'ti				Thai		puññass’idāni katassa yān’aññāni katāni me, tesañ’ca bhāgino hontu satt’<b>ānant’</b>āppamāṇakā	Sabba-patti-dāna		Sharing of Merits							69n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ananta&entry.1433863141=Anki"">Fix it here</a>."	5254	 Sabba-patti-dāna 
te 8	card	masc nom pl	ti					three (3)					ti > te	tri											Thai		sattā tiṭṭhanti lokasmiṃ <b>te-</b>bhummā catu-yonikā, pañc’eka-catu-vokārā saṃsarantā bhav’ābhave	Sabba-patti-dāna		Sharing of Merits							69n	55	[sound:te.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=te 8&entry.1433863141=Anki"">Fix it here</a>."	71106	 Sabba-patti-dāna 
saṃsaranta	prp		saṃsarati			intrans		wandering on; moving on continuously; transmigrating			√sar 1 a (to go, flow)	√sar + a > sara	saṃ + sara + nta	saṃsṛ	√sṛ				SN 22.100	dutiyagaddulabaddhasuttaṃ	“anamataggo’yaṃ, bhikkhave, saṃsāro. pubbā koṭi na paññāyati avijjānīvaraṇānaṃ sattānaṃ taṇhāsaṃyojanānaṃ sandhāvataṃ <b>saṃsarataṃ</b>.				Thai		sattā tiṭṭhanti lokasmiṃ te bhummā catu-yonikā, pañc’eka-catu-vokārā <b>saṃsarantā</b> bhav’ābhave	Sabba-patti-dāna		Sharing of Merits							69n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=saṃsaranta&entry.1433863141=Anki"">Fix it here</a>."	52423	 Sabba-patti-dāna 
mayhaṃ 2	pron	1st gen sg	ahaṃ					my; mine						mahyam, me											Thai		ye piyā guṇavantā ca <b>mayhaṃ</b> mātāpit’ādayo, diṭṭhā me c’āpy’adiṭṭhā vā aññe majjhatta-verino	Sabba-patti-dāna		Sharing of Merits							69n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=mayhaṃ 2&entry.1433863141=Anki"">Fix it here</a>."	33775	 Sabba-patti-dāna 
patti 2	fem	abstr	pāpuṇāti					merit; profit; share; lit. what is obtained			√ap 4 uṇā (to reach, attain)		pa + √ap + ti	prāpti	√āp										Thai		ñātaṃ ye <b>patti</b>-dānam’me anumodantu te sayaṃ, ye c’imaṃ nappajānanti devā tesaṃ nivedayuṃ	Sabba-patti-dāna		Sharing of Merits							69n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=patti 2&entry.1433863141=Anki"">Fix it here</a>."	45789	 Sabba-patti-dāna 
pattidāna	nt	comp						sharing of merit; giving of profit					patti + dāna												Thai		ñātaṃ ye <b>pattidānam</b>’me anumodantu te sayaṃ, ye c’imaṃ nappajānanti devā tesaṃ nivedayuṃ	Sabba-patti-dāna		Sharing of Merits							69n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pattidāna&entry.1433863141=Anki"">Fix it here</a>."	45793	 Sabba-patti-dāna 
nappajānāti	pr			neg		trans	+acc	does not know; does not clearly understand; does not distinguish			√ñā 5 nā (to know)	√ñā + nā > jānā	na + pa + jānā + ti	na + prajānāti	√jñā				SN 56.42	papātasuttaṃ	‘ayaṃ dukkhanirodha-gāminī paṭipadā’ti yathābhūtaṃ <b>nappajānanti</b>, te jāti-saṃvattanikesu saṅkhāresu abhiramanti				Thai		ñātaṃ ye pattidānam’me anumodantu te sayaṃ, ye c’imaṃ <b>nappajānanti</b> devā tesaṃ nivedayuṃ	Sabba-patti-dāna		Sharing of Merits							69n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=nappajānāti&entry.1433863141=Anki"">Fix it here</a>."	35634	 Sabba-patti-dāna 
nivedeti	pr				caus			communicates; makes known; tells; reports; announces			√vid 1 *e (to know)	√vid + *e > vede (caus)	ni + vede + ti		√vid										Thai		ñātaṃ ye pattidānam’me anumodantu te sayaṃ, ye c’imaṃ nappajānanti devā tesaṃ <b>nivedayuṃ</b>	Sabba-patti-dāna		Sharing of Merits							69n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=nivedeti&entry.1433863141=Anki"">Fix it here</a>."	38196	 Sabba-patti-dāna 
vo 4	pron	2nd gen pl	tvaṃ					your						yuṣmabhyam, vaḥ																	KHP 7	tirokuṭṭasuttaṃ	 idaṃ <b>vo</b> ñātīnaṃ hotu, sukhitā hontu ñātayo.	Peta-patti-dāna		Sharing of Merits	70n	55	[sound:vo.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vo 4&entry.1433863141=Anki"">Fix it here</a>."	68967	  Peta-patti-dāna
sukhita	pp		sukheti					happy; glad; easeful; pleased			√sukh 1 a (to please, be comfortable)		√sukh + ita	sukhita	√sukh				SN 35.241	paṭhamadārukkhandhopamasuttaṃ	idha gihīhi saṃsaṭṭho viharati, sahanandī saha-sokī, sukhitesu <b>sukhito</b>, dukkhitesu dukkhito, uppannesu kiccakaraṇīyesu attanā tesu yogaṃ āpajjati. ayaṃ vuccati manussaggāho.				KHP 7	tirokuṭṭasuttaṃ	 idaṃ vo ñātīnaṃ hotu, <b>sukhitā</b> hontu ñātayo.	Peta-patti-dāna		Sharing of Merits	AN 3.156	pubbaṇhasuttaṃ	te attha-laddhā sukhitā, viruḷhā buddhasāsane. arogā <b>sukhitā</b> hotha, saha sabbehi ñātibhī’ti.	So_attha-laddho		Thanksgiving Recitations	70n	55	[sound:sukhita.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sukhita&entry.1433863141=Anki"">Fix it here</a>."	57320	 Peta-patti-dāna So_attha-laddho
ettāvatā	ind	adv	ettāva					to this extent; to this degree; so far					e + tāva + tā	etāvat					MN 39	mahāassapurasuttaṃ	hirottappena’mha samannāgatā, alam’<b>ettāvatā</b> katam’<b>ettāvatā</b>, anuppatto no sāmaññ’attho, n’atthi no kiñci uttariṃ karaṇīyan’ti				Sri Lanka		<b>ettāvatā</b> ca amhehi sambhataṃ puñña-sampadaṃ sabbe devā anumodantu sabba-sampatti-siddhiyā.	Devata-patti-dāna		Sharing of Merits	SN 12.15	kaccānagottasuttaṃ	‘dukkham'eva uppajjamānaṃ uppajjati, dukkhaṃ nirujjhamānaṃ nirujjhatī’ti na kaṅkhati na vicikicchati aparapaccayā ñāṇam'eva'ssa ettha hoti. <b>ettāvatā</b> kho, kaccāna, sammādiṭṭhi hoti.				71n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ettāvatā&entry.1433863141=Anki"">Fix it here</a>."	21965	 Devata-patti-dāna 
sambhata 2	pp		sambharati					collected; amassed; accumulated; brought together; stored			√bhar 1 a (to carry, support)		saṃ + √bhar + ta	sambhṛta	√bhṛ				MN 19	dvedhāvitakkasuttaṃ	seyyathā’pi, bhikkhave, gimhānaṃ pacchime māse sabba-sassesu gām’anta-<b>sambhatesu</b> gopālako gāvo rakkheyya, tassa rukkhamūla-gatassa vā abbhokāsa-gatassa vā sati-karaṇīyam’eva hoti — ‘ete gāvo’ti.				Sri Lanka		ettāvatā ca amhehi <b>sambhataṃ</b> puñña-sampadaṃ sabbe devā anumodantu sabba-sampatti-siddhiyā.	Devata-patti-dāna		Sharing of Merits							71n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sambhata 2&entry.1433863141=Anki"">Fix it here</a>."	51443	 Devata-patti-dāna 
siddhi 2	fem							accomplishment; success; prosperity			√sidh 3 ya (to accomplish)		√sidh + i	siddhi	√ṣidh										Sri Lanka		ettāvatā ca amhehi sambhataṃ puñña-sampadaṃ sabbe devā anumodantu sabba-sampatti-<b>siddhiyā</b>.	Devata-patti-dāna		Sharing of Merits							71n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=siddhi 2&entry.1433863141=Anki"">Fix it here</a>."	55795	 Devata-patti-dāna 
imāya	pron	fem instr sg	ima					by this; with this					ima + āya	anayā, enayā											Sri Lanka		<b>imāya</b> dhamm’ānudhamma-paṭipattiyā buddhaṃ pūjemi paramāya pūjāya	Paramāya_pūjāyañca_paṇidhiñca	The Highest Honour and Aspirations	Sharing of Merits							72n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=imāya&entry.1433863141=Anki"">Fix it here</a>."	24728	 Paramāya_pūjāyañca_paṇidhiñca 
parimuccati	pr		parimuñcati		pass	intrans	+abl	is completely freed; is totally liberated			√muc 2 ya (to release, free)	√muc + ya > mucca (pass)	pari + mucca + ti	parimucyate	√muc										Sri Lanka		addhā imāya paṭipadāya jāti-jarā-byādhi-maraṇamhā <b>parimuccissāmi</b>	Paramāya_pūjāyañca_paṇidhiñca	The Highest Honour and Aspirations	Sharing of Merits	MN 2.2	sabbāsavasuttaṃ	diṭṭhi-saṃyojana-saṃyutto, bhikkhave, assutavā puthujjano na <b>parimuccati</b> jātiyā jarāya maraṇena sokehi paridevehi dukkhehi domanassehi upāyāsehi				72n	55	[sound:parimuccati.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=parimuccati&entry.1433863141=Anki"">Fix it here</a>."	42991	 Paramāya_pūjāyañca_paṇidhiñca 
pariyanta 2	masc		anta					end; limit					pari + [y] + anta	paryanta					SN 48.42	uṇṇābhabrāhmaṇasuttaṃ	accayāsi, brāhmaṇa, pañhaṃ, n'āsakkhi pañhassa <b>pariyantaṃ</b> gahetuṃ.				Sri Lanka		buddhaṃ jīvita-<b>pariyantaṃ</b> saraṇaṃ gacchāmi. dhammaṃ jīvita-<b>pariyantaṃ</b> saraṇaṃ gacchāmi. saṅghaṃ jīvita-<b>pariyantaṃ</b> saraṇaṃ gacchāmi	Paramāya_pūjāyañca_paṇidhiñca	The Highest Honour and Aspirations	Sharing of Merits							72n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pariyanta 2&entry.1433863141=Anki"">Fix it here</a>."	43571	 Paramāya_pūjāyañca_paṇidhiñca 
vaha 2	adj		vahati					carrying; leading			√vah 1 a (to carry, bring)		√vah + a	vaha	√vah										Sri Lanka		idaṃ me puññaṃ āsavakkhayā-<b>vahaṃ</b> hotu, idaṃ me puññaṃ nibbānassa paccayo hotu	Paramāya_pūjāyañca_paṇidhiñca	The Highest Honour and Aspirations	Sharing of Merits							72n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vaha 2&entry.1433863141=Anki"">Fix it here</a>."	64504	 Paramāya_pūjāyañca_paṇidhiñca 
puññakamma	nt	comp						meritorious action; good deed; wholesome act					puñña + kamma	puṇyakarman											Sri Lanka		iminā <b>puññakammena</b> mā me bāla-samāgamo. sataṃ samāgamo hotu, yāva nibbāna-pattiyā.	Paramāya_pūjāyañca_paṇidhiñca	The Highest Honour and Aspirations	Sharing of Merits							72n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=puññakamma&entry.1433863141=Anki"">Fix it here</a>."	47614	 Paramāya_pūjāyañca_paṇidhiñca 
bāla 1	adj							ignorant; foolish; young; immature						bāla					SNP 50	cūḷabyūhasuttaṃ<br/>aṭṭhakavaggo 12	evam'pi viggayha vivādayanti, <b>bālo</b> paro akusalo'ti c'āhu,<br/>sacco nu vādo katamo imesaṃ, sabb'eva h'īme kusalā vadānā.				Sri Lanka		iminā puñña-kammena mā me <b>bāla</b>-samāgamo. sataṃ samāgamo hotu, yāva nibbāna-pattiyā.	Paramāya_pūjāyañca_paṇidhiñca	The Highest Honour and Aspirations	Sharing of Merits	AN 2.135	āyācanavaggo	dvīhi, bhikkhave, dhammehi samannāgato <b>bālo</b> abyatto asappuriso khataṃ upahataṃ attānaṃ pariharati sāvajjo ca hoti sānuvajjo ca viññūnaṃ bahuñ'ca apuññaṃ pasavati				72n	55	[sound:bāla.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bāla 1&entry.1433863141=Anki"">Fix it here</a>."	13400	 Paramāya_pūjāyañca_paṇidhiñca 
samāgama 1	masc		samāgacchati				+gen	assembly; meeting; association			√gam 1 a (to go)		saṃ + ā + √gam + a	samāgama	√gam				DHP 207	sukhavaggo	bālasaṅgatacārī hi,<br/>dīgham'addhāna socati,<br/>dukkho bālehi saṃvāso,<br/>amitten'eva sabbadā,<br/>dhīro ca sukhasaṃvāso,<br/>ñātīnaṃ'va <b>samāgamo</b>.				Sri Lanka		iminā puñña-kammena mā me bāla-<b>samāgamo</b>. sataṃ <b>samāgamo</b> hotu, yāva nibbāna-pattiyā.	Paramāya_pūjāyañca_paṇidhiñca	The Highest Honour and Aspirations	Sharing of Merits	VIBH 6.1	suttantabhājanīyaṃ	evam’etassa kevalassa dukkha-kkhandhassa saṅgati hoti, <b>samāgamo</b> hoti, samodhānaṃ hoti, pātubhāvo hoti.	Paṭicca-samuppāda	Dependent Origination	Teachings	72n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=samāgama 1&entry.1433863141=Anki"">Fix it here</a>."	50784	 Paramāya_pūjāyañca_paṇidhiñca Paṭicca-samuppāda
sataṃ 2	masc	gen pl, irreg	santa					of virtuous people; of good people; of wise people; of sages			√as 1 a (to be)	√as + a > sa	sa + (n)ta + (āna)aṃ	satām	√as										Sri Lanka		iminā puñña-kammena mā me bāla-samāgamo.<br/><b>sataṃ</b> samāgamo hotu, yāva nibbāna-pattiyā.	Paramāya_pūjāyañca_paṇidhiñca	The Highest Honour and Aspirations	Sharing of Merits							72n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sataṃ 2&entry.1433863141=Anki"">Fix it here</a>."	54864	 Paramāya_pūjāyañca_paṇidhiñca 
apaciyati	pr							honours; respects; pays reverence			√cāy 1 a (to honour)	√cāy + a > ciya (irreg)	apa + ciya + ti	apacāyati	√cāy										DN 16.27	mahāparinibbānasuttaṃ	so tathāgataṃ sakkaroti garuṃ karoti māneti pūjeti <b>apaciyati</b>, paramāya pūjāya.	Paramāya_pūjāyañca_paṇidhiñca	The Highest Honour and Aspirations	Sharing of Merits							72n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=apaciyati&entry.1433863141=Anki"">Fix it here</a>."	8038	 Paramāya_pūjāyañca_paṇidhiñca 
bhikkhunī	fem		bhikkhu					Buddhist nun			√bhikkh 1 a (to beg)		√bhikkh + u + [n] + ī	bhiksuṇī	√bhikṣ				AN 8.30	anuruddha mahāvitakkasuttaṃ	idha bhikkhuno pavivittassa viharato bhavanti upasaṅkamitāro bhikkhū <b>bhikkhuniyo</b> upāsakā upāsikāyo rājāno rājamahāmattā titthiyā titthiyasāvakā.				DN 16.27	mahāparinibbānasuttaṃ	yo kho bhikkhu vā <b>bhikkhunī</b> vā upāsako vā upāsikā vā dhamm’ānudhamma-ppaṭipanno viharati sāmīcippaṭipanno anudhammacārī, 	Paramāya_pūjāyañca_paṇidhiñca	The Highest Honour and Aspirations	Sharing of Merits	SN 47.10	bhikkhunupassayasuttaṃ	āyasmā ānando tā <b>bhikkhuniyo</b> dhammiyā kathāya sandassetvā samādapetvā samuttejetvā sampahaṃsetvā uṭṭhāy'āsanā pakkāmi				72n	55	[sound:bhikkhunī.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bhikkhunī&entry.1433863141=Anki"">Fix it here</a>."	14499	 Paramāya_pūjāyañca_paṇidhiñca 
upāsaka	masc	agent	upāsati					lay disciple; lay devotee; lit. who sits near			√ās 1 a (to sit)		upa + √ās + aka	upāsaka	√ās				AN 8.30	anuruddha mahāvitakkasuttaṃ	idha bhikkhuno pavivittassa viharato bhavanti upasaṅkamitāro bhikkhū bhikkhuniyo <b>upāsakā</b> upāsikāyo rājāno rājamahāmattā titthiyā titthiyasāvakā.				DN 16.27	mahāparinibbānasuttaṃ	yo kho bhikkhu vā bhikkhunī vā <b>upāsako</b> vā upāsikā vā dhamm’ānudhamma-ppaṭipanno viharati sāmīcippaṭipanno anudhammacārī, 	Paramāya_pūjāyañca_paṇidhiñca	The Highest Honour and Aspirations	Sharing of Merits							72n	55	[sound:upāsaka.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=upāsaka&entry.1433863141=Anki"">Fix it here</a>."	63005	 Paramāya_pūjāyañca_paṇidhiñca 
upāsikā	fem	agent	upāsati					female disciple; laywomen; female devotee			√ās 1 a (to sit)		upa + √ās + ikā	upāsikā	√ās				VIN PAT AN 1	paṭhamāniyata sikkhāpada	tam'enaṃ saddheyya-vacasā <b>upāsikā</b> disvā tiṇṇaṃ dhammānaṃ aññatarena vadeyya				DN 16.27	mahāparinibbānasuttaṃ	yo kho bhikkhu vā bhikkhunī vā upāsako vā <b>upāsikā</b> vā dhamm’ānudhamma-ppaṭipanno viharati sāmīcippaṭipanno anudhammacārī, 	Paramāya_pūjāyañca_paṇidhiñca	The Highest Honour and Aspirations	Sharing of Merits	AN 8.30	anuruddha mahāvitakkasuttaṃ	idha bhikkhuno pavivittassa viharato bhavanti upasaṅkamitāro bhikkhū bhikkhuniyo upāsakā <b>upāsikāyo</b> rājāno rājamahāmattā titthiyā titthiyasāvakā.				72n	55	[sound:upāsikā.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=upāsikā&entry.1433863141=Anki"">Fix it here</a>."	63114	 Paramāya_pūjāyañca_paṇidhiñca 
anudhamma 1	adj		dhamma					according to; in line with			√dhar 1 a (to hold, carry, endure)		anu + √dhar + ma	anu + dharma	√dhṛ				MN 105	sunakkhattasuttaṃ	lok'āmis'ādhimuttassa kho, sunakkhatta, purisapuggalassa tappatirūpī c'eva kathā saṇṭhāti, tad'<b>anudhammañ</b>'ca anuvitakketi, anuvicāreti, tañ'ca purisaṃ bhajati, tena ca vittiṃ āpajjati				DN 16.27	mahāparinibbānasuttaṃ	yo kho bhikkhu vā bhikkhunī vā upāsako vā upāsikā vā dhamm’<b>ānudhamma</b>-ppaṭipanno viharati sāmīcippaṭipanno anudhammacārī, 	Paramāya_pūjāyañca_paṇidhiñca	The Highest Honour and Aspirations	Sharing of Merits							72n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anudhamma 1&entry.1433863141=Anki"">Fix it here</a>."	6875	 Paramāya_pūjāyañca_paṇidhiñca 
anudhamma 2	adj		dhamma					according to Dhamma; in line with Dhamma			√dhar 1 a (to hold, carry, endure)		anu + √dhar + ma	anu + dharma	√dhṛ										DN 16.27	mahāparinibbānasuttaṃ	yo kho bhikkhu vā bhikkhunī vā upāsako vā upāsikā vā dhamm’ānudhamma-ppaṭipanno viharati sāmīcippaṭipanno <b>anudhamma</b>-cārī, 	Paramāya_pūjāyañca_paṇidhiñca	The Highest Honour and Aspirations	Sharing of Merits							72n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anudhamma 2&entry.1433863141=Anki"">Fix it here</a>."	6876	 Paramāya_pūjāyañca_paṇidhiñca 
anudhammacārī	adj	comp					+gen	living according to the Dhamma; following the Dhamma; practising according to the Dhamma					anudhamma + cārī	anu + dharmacārin					DHP 020	yamakavaggo	appam'pi ce sahitaṃ bhāsamāno, dhammassa hoti <b>anudhammacārī</b>,<br/>rāgañ'ca dosañ'ca pahāya mohaṃ, sammappajāno suvimuttacitto,<br/>anupādiyāno idha vā huraṃ vā, sa bhāgavā sāmaññassa hoti.				DN 16.27	mahāparinibbānasuttaṃ	yo kho bhikkhu vā bhikkhunī vā upāsako vā upāsikā vā dhamm’ānudhamma-ppaṭipanno viharati sāmīcippaṭipanno <b>anudhammacārī</b>, 	Paramāya_pūjāyañca_paṇidhiñca	The Highest Honour and Aspirations	Sharing of Merits							72n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anudhammacārī&entry.1433863141=Anki"">Fix it here</a>."	6878	 Paramāya_pūjāyañca_paṇidhiñca 
chandāharaṇapārisuddhiāharaṇa	nt	comp						bringing consent and convey purification; bringing agreement and purity					chandāharaṇa + pārisuddhiāharaṇa												PAT PK	dhammayuttika-pubbakicca	<b>chand'āharaṇapārisuddhiāharaṇāni</b>, pana imissaṃ sīmāyaṃ hatthapāsaṃ vijahitvā nisinnānaṃ bhikkhūnaṃ abhāvato n'atthi.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=chandāharaṇapārisuddhiāharaṇa&entry.1433863141=Anki"">Fix it here</a>."	70980	 Pubbakicca 
ettaka	adj		etta					so much; this much					etta + ka	etāvat					SN 22.96	gomayapiṇḍasuttaṃ	<b>ettako</b>’pi kho, bhikkhu, attabhāvapaṭilābho n’atthi nicco dhuvo sassato avipariṇāmadhammo sassatisamaṃ tath’eva ṭhassati.				VIN PAT AS	adhikaraṇasamathā	<b>ettakaṃ</b> tassa bhagavato sutt'āgataṃ sutta-pariyāpannaṃ anvaddhamāsaṃ uddesaṃ āgacchati.				PAT PK	dhammayuttika-pubbakicca	utu'kkhānaṃ nāma <b>ettakaṃ</b> atikkantaṃ <b>ettakaṃ</b> avasiṭṭhan'ti	Pubbakicca	Preliminary duty	International Pātimokkha	80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ettaka&entry.1433863141=Anki"">Fix it here</a>."	21958	  Pubbakicca
